ID,Se_Ini,THETAs,THETAr,Ks[mm/s],Hvg[mm],N[-],Km,RingRadius[mm],,NSE,NSE_Hse,NSE_Kunsat,,
1,0.217,0.654,0,4,10000000,0.1117,37.3,2.0412,2,75,Book,0.437756984,0.75073686,0.124777108
2,0.802,0.43,0.05,0.7754,92.368,0.0825,69,2.68,1,100,Sand,0.999675828,0.999885649,0.999466007
3,0.44,0.43,0.05,0.7754,92.368,0.0825,69,2.68,1,100,Sand,0.999675828,0.999885649,0.999466007
4,0.162,0.43,0.05,0.7754,92.368,0.0825,69,2.68,1,100,Sand,0.999675828,0.999885649,0.999466007
5,0.052,0.43,0.05,0.7754,92.368,0.0825,69,2.68,1,100,Sand,0.999675828,0.999885649,0.999466007
6,0.026,0.43,0.05,0.7754,92.368,0.0825,69,2.68,1,100,Sand,0.999675828,0.999885649,0.999466007
7,0.016,0.43,0.05,0.7754,92.368,0.0825,69,2.68,1,100,Sand,0.999675828,0.999885649,0.999466007
8,0.011,0.43,0.05,0.7754,92.368,0.0825,69,2.68,1,100,Sand,0.999675828,0.999885649,0.999466007
9,0,0.43,0.05,0.7754,92.368,0.0825,69,2.68,1,100,Sand,0.999675828,0.999885649,0.999466007
10,0.845,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
11,0.694,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
12,0.591,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
13,0.519,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
14,0.466,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
15,0.262,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
16,0.197,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
17,0.134,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
18,0.055,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
19,0.037,0.43,0.08,1.6036,1002.53,0.00288,278,1.56,1,100,Loam,0.996214325,0.998508329,0.993920321
20,0.89,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
21,0.835,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
22,0.789,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
23,0.75,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
24,0.456,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
25,0.356,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
26,0.198,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
27,0.084,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
28,0.05,0.46,0.03,1.9964,4841.225,0.0007,625,1.37,1,100,Silt,0.990756104,0.995455454,0.986056754
29,0.987,0.36,0.07,3.536,3896957.185,0.00006,2000,1.09,1,100,SiltClay,0.839992526,0.902498236,0.777486816
30,0.981,0.36,0.07,3.536,3896957.253,0.00006,2000,1.09,1,100,SiltClay,0.839992526,0.902498236,0.777486816
31,0.974,0.36,0.07,3.536,3896957.231,0.00006,2000,1.09,1,100,SiltClay,0.839992527,0.902498237,0.777486817
32,0.969,0.36,0.07,3.536,3896957.352,0.00006,2000,1.09,1,100,SiltClay,0.839992526,0.902498237,0.777486816
33,0.897,0.36,0.07,3.536,3896957.263,0.00006,2000,1.09,1,100,SiltClay,0.839992527,0.902498237,0.777486817
34,0.854,0.36,0.07,3.536,3896957.208,0.00006,2000,1.09,1,100,SiltClay,0.839992526,0.902498236,0.777486815
35,0.702,0.36,0.07,3.536,3896957.245,0.00006,2000,1.09,1,100,SiltClay,0.839992527,0.902498237,0.777486817
36,0.608,0.36,0.07,3.536,3896957.213,0.00006,2000,1.09,1,100,SiltClay,0.839992526,0.902498236,0.777486816
37,0.495,0.36,0.07,3.536,3896957.276,0.00006,2000,1.09,1,100,SiltClay,0.839992527,0.902498237,0.777486816
38,0.402,0.36,0.07,3.536,3896957.364,0.00006,2000,1.09,1,100,SiltClay,0.839992526,0.902498236,0.777486816
39,0.307,0.36,0.07,3.536,3896957.186,0.00006,2000,1.09,1,100,SiltClay,0.839992526,0.902498236,0.777486816
40,0.191,0.36,0.07,3.536,3896957.297,0.00006,2000,1.09,1,100,SiltClay,0.839992526,0.902498236,0.777486816
