ID,Theta_r,Theta_s,Hvg[mm],n,Km,Ks[mm s-1],
1,0,0.654,37.3,2.0412,2,0.1117,Book
2,0.05,0.43,69,2.68,1,0.0825,Sand
3,0.05,0.43,69,2.68,1,0.0825,Sand
4,0.05,0.43,69,2.68,1,0.0825,Sand
5,0.05,0.43,69,2.68,1,0.0825,Sand
6,0.05,0.43,69,2.68,1,0.0825,Sand
7,0.05,0.43,69,2.68,1,0.0825,Sand
8,0.05,0.43,69,2.68,1,0.0825,Sand
9,0.05,0.43,69,2.68,1,0.0825,Sand
10,0.08,0.43,278,1.56,1,0.00288,Loam
11,0.08,0.43,278,1.56,1,0.00288,Loam
12,0.08,0.43,278,1.56,1,0.00288,Loam
13,0.08,0.43,278,1.56,1,0.00288,Loam
14,0.08,0.43,278,1.56,1,0.00288,Loam
15,0.08,0.43,278,1.56,1,0.00288,Loam
16,0.08,0.43,278,1.56,1,0.00288,Loam
17,0.08,0.43,278,1.56,1,0.00288,Loam
18,0.08,0.43,278,1.56,1,0.00288,Loam
19,0.08,0.43,278,1.56,1,0.00288,Loam
20,0.03,0.46,625,1.37,1,0.0007,Silt
21,0.03,0.46,625,1.37,1,0.0007,Silt
22,0.03,0.46,625,1.37,1,0.0007,Silt
23,0.03,0.46,625,1.37,1,0.0007,Silt
24,0.03,0.46,625,1.37,1,0.0007,Silt
25,0.03,0.46,625,1.37,1,0.0007,Silt
26,0.03,0.46,625,1.37,1,0.0007,Silt
27,0.03,0.46,625,1.37,1,0.0007,Silt
28,0.03,0.46,625,1.37,1,0.0007,Silt
29,0.07,0.36,2000,1.09,1,0.00006,SiltClay
30,0.07,0.36,2000,1.09,1,0.00006,SiltClay
31,0.07,0.36,2000,1.09,1,0.00006,SiltClay
32,0.07,0.36,2000,1.09,1,0.00006,SiltClay
33,0.07,0.36,2000,1.09,1,0.00006,SiltClay
34,0.07,0.36,2000,1.09,1,0.00006,SiltClay
35,0.07,0.36,2000,1.09,1,0.00006,SiltClay
36,0.07,0.36,2000,1.09,1,0.00006,SiltClay
37,0.07,0.36,2000,1.09,1,0.00006,SiltClay
38,0.07,0.36,2000,1.09,1,0.00006,SiltClay
39,0.07,0.36,2000,1.09,1,0.00006,SiltClay
40,0.07,0.36,2000,1.09,1,0.00006,SiltClay
